listing_key,oof_prob,credit_score_computed
273529,0.134101,541
270985,0.012036,614
132429,0.066322,563
121882,0.053911,570
237320,0.229763,522
265647,0.101388,550
296303,0.151817,537
454127,0.121965,544
133379,0.028973,588
162429,0.094528,552
191327,0.089234,554
322547,0.038543,580
423320,0.029178,588
369007,0.057519,568
314377,0.120679,544
382230,0.133453,541
319100,0.09326,553
134564,0.063305,565
299840,0.072344,561
189372,0.036271,582
171285,0.014846,608
341121,0.162911,534
237999,0.062033,565
112837,0.08443,556
241261,0.034163,584
269697,0.044524,576
421697,0.029757,588
436648,0.073056,560
253681,0.033903,584
279693,0.061588,566
436318,0.031631,586
228328,0.070685,561
112435,0.146336,538
239310,0.080314,557
115000,0.047608,574
247372,0.083665,556
369766,0.061052,566
115704,0.039252,579
436556,0.052832,570
260625,0.084138,556
116286,0.057302,568
382415,0.059033,567
397800,0.071259,561
414138,0.078335,558
199467,0.07786,558
424603,0.130264,542
394710,0.052494,571
400175,0.063822,565
161821,0.206274,526
403498,0.072939,560
397994,0.103192,550
380378,0.053324,570
326419,0.044587,576
351359,0.026387,591
313288,0.1241,544
338390,0.041176,578
350892,0.182633,530
262248,0.127775,543
329458,0.036389,582
264683,0.017833,603
270823,0.199687,527
101463,0.061399,566
360947,0.059912,567
310419,0.073941,560
176042,0.225116,523
423846,0.161516,535
420889,0.06735,563
411764,0.214528,525
438202,0.08822,555
200420,0.139217,540
253483,0.097516,551
406591,0.08946,554
183904,0.063868,565
454289,0.085597,555
168970,0.053613,570
271893,0.191417,529
190559,0.02252,596
404281,0.174158,532
247374,0.049474,572
331175,0.222154,523
124258,0.213998,525
302404,0.189717,529
258280,0.245271,520
365359,0.042166,577
337390,0.080863,557
279024,0.252618,518
414937,0.092823,553
409905,0.053033,570
248660,0.041399,578
242097,0.050232,572
443195,0.177496,531
221543,0.06186,566
257209,0.094962,552
123780,0.206188,526
354963,0.065343,564
253958,0.077777,558
202708,0.082722,557
164934,0.186866,530
281257,0.1759,532
455117,0.070169,562
394447,0.226607,523
391476,0.079943,558
410732,0.124982,543
126733,0.028783,589
315902,0.071771,561
313800,0.037108,581
193936,0.035856,582
398339,0.052194,571
105393,0.398057,499
249669,0.030911,587
308764,0.184464,530
111061,0.054408,570
424218,0.0741,560
334437,0.245895,519
166863,0.235922,521
233238,0.061237,566
355633,0.130748,542
167866,0.046277,574
204933,0.104834,549
316378,0.159689,535
179265,0.077719,559
439929,0.032911,585
195743,0.070675,561
245855,0.032593,585
313376,0.041877,577
139410,0.084715,556
393719,0.037533,581
367214,0.032835,585
381281,0.112242,547
291753,0.177374,531
289700,0.08882,554
148665,0.047278,574
238083,0.191021,529
384956,0.082304,557
149836,0.196033,528
332566,0.053188,570
291637,0.247945,519
382547,0.126604,543
378366,0.113685,546
446454,0.031832,586
157086,0.3669,503
133409,0.100619,550
104097,0.032009,585
326484,0.035463,582
343087,0.093281,553
428082,0.13466,541
308376,0.095676,552
291230,0.061181,566
444785,0.041712,578
261165,0.137569,540
169376,0.040637,578
249864,0.056579,568
438060,0.099519,551
416690,0.036649,581
393319,0.046832,574
426458,0.100204,550
148720,0.226816,523
138026,0.10368,549
342287,0.071952,561
349825,0.038089,580
381535,0.076344,559
102901,0.152111,537
107742,0.182403,530
373967,0.02699,591
204396,0.035855,582
295859,0.244707,520
119654,0.111405,547
403934,0.331181,507
192002,0.168027,533
365940,0.072038,561
437554,0.05043,572
117033,0.061427,566
439931,0.221599,523
288619,0.06081,566
342922,0.052844,570
221303,0.119916,545
444503,0.211717,525
323603,0.275199,515
131931,0.130319,542
350416,0.145089,538
210313,0.077371,559
388886,0.046379,574
155315,0.081652,557
407578,0.05427,570
350054,0.045248,575
260882,0.036458,582
310003,0.045989,575
295400,0.140103,539
178150,0.141025,539
148275,0.200536,527
339438,0.111257,547
356888,0.101422,550
319258,0.053654,570
241553,0.057167,568
289519,0.040189,579
421017,0.073119,560
432239,0.130578,542
400664,0.056908,568
450790,0.166645,534
175762,0.063504,565
393466,0.101146,550
106388,0.140934,539
318680,0.052893,570
222698,0.067614,563
297297,0.034869,583
233972,0.212599,525
348477,0.032294,585
168863,0.093471,553
202959,0.024591,593
105546,0.023898,594
298401,0.048675,573
100748,0.048789,573
141930,0.073858,560
280150,0.06632,563
334379,0.048791,573
447578,0.107856,548
369902,0.055235,569
213724,0.037547,581
294399,0.088457,554
115676,0.116558,546
316182,0.126196,543
337922,0.130671,542
444125,0.05449,569
427734,0.100624,550
435678,0.038859,580
291678,0.146559,538
281217,0.108629,548
402336,0.044172,576
217387,0.156031,536
115137,0.065776,564
151898,0.142457,539
217818,0.054581,569
247476,0.371403,502
361305,0.070539,562
397061,0.057077,568
190315,0.079877,558
253119,0.10128,550
292907,0.032487,585
221671,0.017762,603
302658,0.035188,583
389117,0.023792,594
307591,0.122075,544
328229,0.054506,569
124884,0.066316,563
145473,0.104025,549
242773,0.135598,541
161478,0.043594,576
371810,0.099785,551
110325,0.013436,611
154164,0.058863,567
142858,0.121277,544
228211,0.091156,553
379090,0.119315,545
353226,0.069441,562
220497,0.106211,549
233910,0.143282,539
262996,0.030356,587
197738,0.131393,542
190429,0.033054,585
128600,0.06273,565
269598,0.229358,522
426062,0.069207,562
414418,0.13186,542
150814,0.027267,590
264746,0.065945,564
301013,0.143248,539
198648,0.039503,579
332448,0.223122,523
276518,0.029994,587
238263,0.133156,541
404285,0.185699,530
441102,0.072094,561
231759,0.05594,569
141910,0.055566,569
314039,0.026023,592
447225,0.041364,578
355488,0.031219,586
144331,0.107853,548
414925,0.031052,586
317148,0.025269,593
206461,0.174648,532
438461,0.070776,561
375993,0.039026,580
371517,0.11601,546
207710,0.071969,561
448139,0.036279,582
124549,0.037082,581
254766,0.04451,576
138870,0.10004,551
315469,0.081414,557
251035,0.190612,529
141264,0.064989,564
299173,0.163463,534
173696,0.112904,547
135734,0.049617,572
115037,0.202716,527
365632,0.079732,558
227017,0.045646,575
200271,0.026155,591
250858,0.066894,563
454054,0.113933,546
153455,0.153703,536
136530,0.036431,582
170762,0.047861,573
131882,0.165701,534
214082,0.038562,580
279935,0.042501,577
251119,0.065834,564
247840,0.113651,546
271097,0.073858,560
130163,0.08258,557
435561,0.02436,594
376925,0.031661,586
166300,0.192518,528
360483,0.036706,581
386404,0.027792,590
451692,0.10214,550
155763,0.150731,537
159407,0.042856,577
442982,0.041382,578
203837,0.068011,563
174802,0.125652,543
395457,0.042066,577
190752,0.061061,566
385188,0.297379,512
411688,0.047631,574
362431,0.03477,583
405844,0.105854,549
114333,0.050419,572
308673,0.036792,581
386319,0.304861,511
242507,0.04745,574
299327,0.047945,573
417884,0.101282,550
345673,0.065569,564
348325,0.071238,561
136717,0.017275,604
425001,0.107112,548
240268,0.021634,597
114948,0.048858,573
104910,0.055099,569
203675,0.168348,533
246425,0.028249,589
434111,0.082582,557
153266,0.076354,559
139802,0.069262,562
398156,0.121048,544
362438,0.063487,565
396805,0.116081,546
432833,0.139964,540
197701,0.111339,547
121091,0.086048,555
194509,0.058245,567
175120,0.026336,591
403900,0.117947,545
409240,0.040091,579
364888,0.072324,561
241669,0.065047,564
196422,0.085797,555
229974,0.102721,550
143885,0.088178,555
249372,0.079348,558
195537,0.139415,540
427046,0.03055,587
170690,0.071924,561
389615,0.283869,514
241698,0.050824,572
189523,0.066949,563
331763,0.041624,578
451110,0.098846,551
404906,0.070132,562
132689,0.08131,557
176039,0.059823,567
